garden,continent,lineid,population,latitude,longitude,experimental.block,dbolt,dfl,rdiam,rlvs,height,branches,fruit,totfruit,survrepro
SC,NA,NA-13,RP,42.44048889,-76.49535833,5,87,90,7.4,5,27,19,395,395,1
SC,NA,NA-131,SCR,33.51666667,-80.41666667,1,73,77,8.7,44,50.6,25,741,741,1
ONT,NA,NA-131,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
SC,NA,NA-131,SCR,33.51666667,-80.41666667,2,72,76,4.7,19,36.3,15,284,284,1
ONT,NA,NA-131,SCR,33.51666667,-80.41666667,2,,,,,,,,0,0
ONT,NA,NA-131,SCR,33.51666667,-80.41666667,3,,,,,,,,0,0
SC,NA,NA-131,SCR,33.51666667,-80.41666667,3,71,77,8.5,41,46,45,1302,1302,1
ONT,NA,NA-131,SCR,33.51666667,-80.41666667,4,195,206,1.9,17,21.4,5,103,103,1
SC,NA,NA-131,SCR,33.51666667,-80.41666667,4,80,86,4.8,25,37.2,6,205,205,1
ONT,NA,NA-131,SCR,33.51666667,-80.41666667,5,,,,,,,,0,0
SC,NA,NA-131,SCR,33.51666667,-80.41666667,5,73,79,7.7,38,42.8,39,732,732,1
SC,NA,NA-132,SCR,33.51666667,-80.41666667,1,70,73,3.7,17,27,12,117,117,1
ONT,NA,NA-132,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
ONT,NA,NA-132,SCR,33.51666667,-80.41666667,2,,,,,,,,0,0
SC,NA,NA-132,SCR,33.51666667,-80.41666667,2,,,,,,,,0,0
SC,NA,NA-132,SCR,33.51666667,-80.41666667,3,71,77,7.9,54,44.4,124,308,308,1
ONT,NA,NA-132,SCR,33.51666667,-80.41666667,3,,,,,,,,0,0
ONT,NA,NA-132,SCR,33.51666667,-80.41666667,4,,,,,,,,0,0
SC,NA,NA-132,SCR,33.51666667,-80.41666667,4,,,,,,,,0,0
ONT,NA,NA-132,SCR,33.51666667,-80.41666667,5,198,207,1.1,12,15.5,2,27,27,1
SC,NA,NA-132,SCR,33.51666667,-80.41666667,5,70,76,7.9,35,43.6,27,606,606,1
ONT,NA,NA-134,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
SC,NA,NA-134,SCR,33.51666667,-80.41666667,1,76,82,6.5,31,38.3,194,2038,2038,1
ONT,NA,NA-134,SCR,33.51666667,-80.41666667,2,198,207,1.8,14,22.1,6,128,128,1
SC,NA,NA-134,SCR,33.51666667,-80.41666667,2,71,76,7.1,38,44.1,31,647,647,1
ONT,NA,NA-134,SCR,33.51666667,-80.41666667,3,196,206,2.5,23,23.6,18,415,415,1
SC,NA,NA-134,SCR,33.51666667,-80.41666667,3,73,77,6.7,25,36.8,6,245,245,1
ONT,NA,NA-134,SCR,33.51666667,-80.41666667,4,196,206,2.3,24,23.7,5,100,100,1
SC,NA,NA-134,SCR,33.51666667,-80.41666667,4,73,80,7.9,41,39.2,12,543,543,1
SC,NA,NA-134,SCR,33.51666667,-80.41666667,5,79,85,4.5,21,33.7,6,193,193,1
ONT,NA,NA-134,SCR,33.51666667,-80.41666667,5,,,,,,,,0,0
